,City,Team,Abb,Year,Final,Games,Loss,Proj,Wins
79,New York,Knicks,NYK,19-20,,21.0,17.0,37.5,4.0
80,Oklahoma City,Thunder,OKC,16-17,47.0,22.0,8.0,45.0,14.0
81,Oklahoma City,Thunder,OKC,17-18,48.0,23.0,12.0,53.5,11.0
82,Oklahoma City,Thunder,OKC,18-19,49.0,23.0,7.0,48.5,16.0
83,Oklahoma City,Thunder,OKC,19-20,,20.0,12.0,46.5,8.0
84,Orlando,Magic,ORL,16-17,29.0,21.0,12.0,37.5,9.0
85,Orlando,Magic,ORL,17-18,25.0,25.0,15.0,32.5,10.0
86,Orlando,Magic,ORL,18-19,42.0,25.0,13.0,30.5,12.0
87,Orlando,Magic,ORL,19-20,,21.0,11.0,35.5,10.0
88,Philadelphia,Sixers,PHI,16-17,28.0,21.0,17.0,23.5,4.0
89,Philadelphia,Sixers,PHI,17-18,52.0,23.0,10.0,39.0,13.0
90,Philadelphia,Sixers,PHI,18-19,51.0,26.0,9.0,53.5,17.0
91,Philadelphia,Sixers,PHI,19-20,,21.0,6.0,54.5,15.0
92,Phoenix,Suns,PHO,16-17,24.0,20.0,14.0,29.5,6.0
93,Phoenix,Suns,PHO,17-18,21.0,26.0,17.0,29.0,9.0
94,Phoenix,Suns,PHO,18-19,19.0,24.0,20.0,29.0,4.0
95,Phoenix,Suns,PHO,19-20,,20.0,11.0,25.5,9.0
96,Portland,Blazers,POR,16-17,41.0,22.0,10.0,45.5,12.0
97,Portland,Blazers,POR,17-18,49.0,24.0,11.0,43.5,13.0
98,Portland,Blazers,POR,18-19,53.0,24.0,11.0,42.5,13.0
99,Portland,Blazers,POR,19-20,,22.0,13.0,45.5,9.0
100,Sacramento,Kings,SAC,16-17,32.0,20.0,13.0,33.5,7.0
101,Sacramento,Kings,SAC,17-18,27.0,23.0,16.0,27.5,7.0
102,Sacramento,Kings,SAC,18-19,39.0,23.0,11.0,25.5,12.0
103,Sacramento,Kings,SAC,19-20,,20.0,12.0,33.5,8.0
104,San Antonio,Spurs,SAS,16-17,61.0,21.0,4.0,57.5,17.0
105,San Antonio,Spurs,SAS,17-18,47.0,24.0,8.0,54.5,16.0
106,San Antonio,Spurs,SAS,18-19,48.0,25.0,14.0,42.5,11.0
107,San Antonio,Spurs,SAS,19-20,,22.0,14.0,44.5,8.0
108,Toronto,Raptors,TOR,16-17,51.0,21.0,7.0,50.5,14.0
109,Toronto,Raptors,TOR,17-18,59.0,22.0,7.0,48.0,15.0
110,Toronto,Raptors,TOR,18-19,58.0,26.0,5.0,56.0,21.0
111,Toronto,Raptors,TOR,19-20,,20.0,5.0,53.5,15.0
112,Utah,Jazz,UTA,16-17,51.0,22.0,9.0,47.5,13.0
113,Utah,Jazz,UTA,17-18,48.0,25.0,12.0,41.5,13.0
114,Utah,Jazz,UTA,18-19,50.0,25.0,13.0,50.5,12.0
115,Utah,Jazz,UTA,19-20,,22.0,10.0,50.5,12.0
116,Washington,Wizards,WAS,16-17,49.0,19.0,12.0,42.5,7.0
117,Washington,Wizards,WAS,17-18,43.0,24.0,11.0,49.0,13.0
118,Washington,Wizards,WAS,18-19,32.0,25.0,14.0,46.0,11.0
119,Washington,Wizards,WAS,19-20,,19.0,13.0,28.5,6.0
