City,Team,Abb,Year,Final,Games,Loss,Proj,Wins
San Antonio,Spurs,SAS,18-19,48,25,14,42.5,11
San Antonio,Spurs,SAS,19-20,,22,14,44.5,8
Toronto,Raptors,TOR,16-17,51,21,7,50.5,14
Toronto,Raptors,TOR,17-18,59,22,7,48,15
Toronto,Raptors,TOR,18-19,58,26,5,56,21
Toronto,Raptors,TOR,19-20,,20,5,53.5,15
Utah,Jazz,UTA,16-17,51,22,9,47.5,13
Utah,Jazz,UTA,17-18,48,25,12,41.5,13
Utah,Jazz,UTA,18-19,50,25,13,50.5,12
Utah,Jazz,UTA,19-20,,22,10,50.5,12
Washington,Wizards,WAS,16-17,49,19,12,42.5,7
Washington,Wizards,WAS,17-18,43,24,11,49,13
Washington,Wizards,WAS,18-19,32,25,14,46,11
Washington,Wizards,WAS,19-20,,19,13,28.5,6
